x,y,InsideCircle,pi
-8.879560980346511,26.230750848592592,1,4.0
7.307979567383995,43.29876616413239,1,4.0
47.756233926617114,-0.5533722453159413,1,4.0
-26.97892757627346,36.539876876018766,1,4.0
-23.182980966475153,2.5106377324721407,1,4.0
35.19892857292983,43.98094255914259,0,3.3333333333333335
-48.262522732118065,-3.515558048698942,1,3.4285714285714284
35.053121705208696,-8.762849690153864,1,3.5
-9.361497827563781,39.97605747745716,1,3.5555555555555554
-13.006276373706186,-16.77442048033233,1,3.6
-29.758620207677634,21.09255339671536,1,3.6363636363636362
-28.93259494444441,38.22836338977437,1,3.6666666666666665
28.110593241291426,-40.75334907254218,1,3.6923076923076925
42.45488624755869,-17.97942603957957,1,3.7142857142857144
2.2181330211891606,-11.872872944848481,1,3.7333333333333334
35.80794275499677,48.76223005901103,0,3.5
45.04080504711081,-27.986797051654765,0,3.2941176470588234
-28.295449791461436,-11.364640759369628,1,3.3333333333333335
2.744484910398647,28.554132355773348,1,3.3684210526315788
28.701722220470145,3.2823493571311957,1,3.4
35.560202559341846,49.26929367808336,0,3.238095238095238
28.049697802784692,24.24010268351148,1,3.272727272727273
-25.301704738752562,-30.346630955410745,1,3.3043478260869565
-13.05050078797727,40.36260510705844,1,3.3333333333333335
-13.113825215727857,-19.416336683683944,1,3.36
0.5042545373107998,-38.81327180687728,1,3.3846153846153846
49.51563527427059,-16.28793467399796,0,3.259259259259259
30.394825050446215,21.51506222777249,1,3.2857142857142856
37.31037026452914,-23.91212098665153,1,3.310344827586207
32.061423392215616,-13.207886638211498,1,3.3333333333333335
18.106806195714412,-7.495561296729747,1,3.3548387096774195
-17.06381826128981,17.976908475864846,1,3.375
11.277785927659714,-21.835302298982416,1,3.393939393939394
13.584720530463976,-10.768817525245545,1,3.411764705882353
-9.943832361164318,-33.748981113921786,1,3.4285714285714284
-7.841084394010899,-25.004869983063436,1,3.4444444444444446
-36.08281172232532,13.109291897317966,1,3.4594594594594597
-42.683653017197784,-31.352313625030625,0,3.3684210526315788
22.37318115489893,-13.764558427338045,1,3.3846153846153846
19.593448723828573,-15.50525293790038,1,3.4
-28.402683205382708,-27.261988704030816,1,3.4146341463414633
-22.194709323465077,-18.973699935765698,1,3.4285714285714284
-5.481099377592017,37.62936904020789,1,3.441860465116279
-5.228778685541776,30.377473564907916,1,3.4545454545454546
32.138979397758035,8.569632307575667,1,3.466666666666667
-25.88263406190895,-11.935885910155285,1,3.4782608695652173
29.795038436815062,19.45328921127097,1,3.4893617021276597
-9.035941444629493,-15.099563940695326,1,3.5
11.256969367497796,-8.321110141739233,1,3.510204081632653
14.859394493072415,0.9153574134569737,1,3.52
-44.82868647189907,-38.22162443822131,0,3.450980392156863
26.16756493510981,-7.11073130223874,1,3.4615384615384617
23.40295168669752,34.8409461802179,1,3.4716981132075473
-19.168935823438648,42.6474133592242,1,3.4814814814814814
-49.648283051456886,28.454761436313376,0,3.418181818181818
47.82396565577348,32.99687424810479,0,3.357142857142857
6.393700742295252,-43.99306663902483,1,3.3684210526315788
-21.807162064206764,18.48627282313724,1,3.3793103448275863
-1.2079443604592655,0.0029521396945213496,1,3.389830508474576
9.655790746233293,32.63107239225235,1,3.4
-13.813737373538295,-38.683707504908426,1,3.4098360655737703
-45.25253034973329,49.08702877153472,0,3.3548387096774195
3.304525883579565,-40.82580009131639,1,3.365079365079365
-20.315133011607,-34.322843949730874,1,3.375
14.982019440345184,-31.735702624290806,1,3.3846153846153846
49.943898082494215,-30.330079059308257,0,3.3333333333333335
9.442996773520306,41.05246371339979,1,3.343283582089552
-21.818269766051202,-34.37005630076935,1,3.3529411764705883
49.79292510265991,41.441181837266384,0,3.3043478260869565
46.605445696914856,30.78875390444398,0,3.257142857142857
36.169374957612234,18.922290845430595,1,3.267605633802817
15.271432546671662,-49.241926435054296,0,3.2222222222222223
30.89350891711642,-0.2659445035043433,1,3.232876712328767
1.135996950667625,9.257511332691202,1,3.2432432432432434
29.97510687912984,-35.82558329597943,1,3.2533333333333334
28.17722930944818,39.53071006104416,1,3.263157894736842
37.30572155115357,-3.1221453244849258,1,3.272727272727273
-27.21308030678933,23.747007990141782,1,3.282051282051282
23.94184157025053,-0.5308078417515034,1,3.2911392405063293
-48.087244300015286,24.974508653405465,0,3.25
33.3275858417897,18.953537945511982,1,3.259259259259259
-35.82729119230841,-11.985428471615734,1,3.268292682926829
18.42318036795406,43.30477328540948,1,3.2771084337349397
22.751679835519766,-3.253803047692884,1,3.2857142857142856
4.105685450285023,32.45059334708333,1,3.2941176470588234
